ID,Glottocode,Parameter_ID,Value,Coder,Source
kett1243-coargument-sensitivity indexing,kett1243,coargument-sensitivity indexing,no,AN,"georg2007descriptive[105,159,185-189,191-193]"
kich1262-flagging,kich1262,flagging,False,AWM,pixabaj2017kiche[475-485]
kich1262-indexing,kich1262,indexing,True,AN,pixabaj2017kiche[475-485]
kich1262-indexing-features,kich1262,indexing-features,person+number,AN,pixabaj2017kiche[475-485]
kich1262-tam-split,kich1262,tam-split,False,AN;AWM,"pixabaj2017kiche[466-467,475-485]"
kich1262-split-s,kich1262,split-s,False,AN;AWM,"pixabaj2017kiche[466-467,475-485]"
kich1262-coargument-sensitivity flagging,kich1262,coargument-sensitivity flagging,no,AN;AWM,"pixabaj2017kiche[466-467,475-485]"
kich1262-coargument-sensitivity indexing,kich1262,coargument-sensitivity indexing,no,AN;AWM,"pixabaj2017kiche[466-467,475-485]"
kiow1266-flagging,kiow1266,flagging,False,AN,"watkins1984kiowa[100-101,204]"
kiow1266-indexing,kiow1266,indexing,True,AN;DI,"watkins1984kiowa[100-101,204]"
kiow1266-indexing-features,kiow1266,indexing-features,number;person;person+number,AN;DI,"watkins1984kiowa[100-101,204]"
kiow1266-tam-split,kiow1266,tam-split,False,AN;DI,"watkins1984kiowa[100-101,114-134,204];zuniga2006inverse[190-199]"
kiow1266-split-s,kiow1266,split-s,True,AN;DI,"watkins1984kiowa[100-101,114-134,204];zuniga2006inverse[190-199]"
kiow1266-coargument-sensitivity flagging,kiow1266,coargument-sensitivity flagging,no,AN;DI,"watkins1984kiowa[100-101,114-134,204];zuniga2006inverse[190-199]"
kiow1266-coargument-sensitivity indexing,kiow1266,coargument-sensitivity indexing,yes,AN;DI,"watkins1984kiowa[100-101,114-134,204];zuniga2006inverse[190-199]"
kitj1240-flagging,kitj1240,flagging,False,AWM,kofod1996kija[1-188]
kitj1240-indexing,kitj1240,indexing,True,AWM,kofod1996kija[1-188]
kitj1240-indexing-features,kitj1240,indexing-features,number;person;person+number,AWM,kofod1996kija[1-188]
kitj1240-tam-split,kitj1240,tam-split,False,AWM,kofod1996kija[1-219]
kitj1240-split-s,kitj1240,split-s,False,AWM,kofod1996kija[1-219]
kitj1240-coargument-sensitivity flagging,kitj1240,coargument-sensitivity flagging,no,AWM,kofod1996kija[1-219]
kitj1240-coargument-sensitivity indexing,kitj1240,coargument-sensitivity indexing,yes,AWM,kofod1996kija[1-219]
klam1254-flagging,klam1254,flagging,True,HT,"barker1964klamath[233-235,237-243,262,320,352]"
klam1254-indexing,klam1254,indexing,False,HT,"barker1964klamath[233-235,237-243,262,320,352]"
klam1254-indexing-features,klam1254,indexing-features,NA,HT,"barker1964klamath[233-235,237-243,262,320,352]"
klam1254-tam-split,klam1254,tam-split,False,HT,"barker1964klamath[103,233-235,237-243,262,320,352]"
klam1254-split-s,klam1254,split-s,False,HT,"barker1964klamath[103,233-235,237-243,262,320,352]"
klam1254-coargument-sensitivity flagging,klam1254,coargument-sensitivity flagging,no,HT,"barker1964klamath[103,233-235,237-243,262,320,352]"
klam1254-coargument-sensitivity indexing,klam1254,coargument-sensitivity indexing,no,HT,"barker1964klamath[103,233-235,237-243,262,320,352]"
koas1236-flagging,koas1236,flagging,True,AWM,kimball1991koasati[389-394]
koas1236-indexing,koas1236,indexing,True,AWM,kimball1991koasati[389-394]
koas1236-indexing-features,koas1236,indexing-features,person+number,AWM,kimball1991koasati[389-394]
koas1236-tam-split,koas1236,tam-split,False,AWM,"kimball1991koasati[112-114,127,389-394,57-58]"
koas1236-split-s,koas1236,split-s,True,AWM,"kimball1991koasati[112-114,127,389-394,57-58]"
koas1236-coargument-sensitivity flagging,koas1236,coargument-sensitivity flagging,no,AWM,"kimball1991koasati[112-114,127,389-394,57-58]"
koas1236-coargument-sensitivity indexing,koas1236,coargument-sensitivity indexing,no,AWM,"kimball1991koasati[112-114,127,389-394,57-58]"
koyr1242-flagging,koyr1242,flagging,True,AWM,heath1999koyraboro[79]
koyr1242-indexing,koyr1242,indexing,False,AWM,heath1999koyraboro[79]
koyr1242-indexing-features,koyr1242,indexing-features,NA,AWM,heath1999koyraboro[79]
koyr1242-tam-split,koyr1242,tam-split,False,AWM,heath1999koyraboro[79]
koyr1242-split-s,koyr1242,split-s,False,AWM,heath1999koyraboro[79]
koyr1242-coargument-sensitivity flagging,koyr1242,coargument-sensitivity flagging,no,AWM,heath1999koyraboro[79]
koyr1242-coargument-sensitivity indexing,koyr1242,coargument-sensitivity indexing,no,AWM,heath1999koyraboro[79]
kren1239-flagging,kren1239,flagging,False,DI,"pessoa2012krenak[214,223-225]"
kren1239-indexing,kren1239,indexing,False,DI,"pessoa2012krenak[214,223-225]"
kren1239-indexing-features,kren1239,indexing-features,NA,DI,"pessoa2012krenak[214,223-225]"
kren1239-tam-split,kren1239,tam-split,False,DI,"pessoa2012krenak[214,223-227]"
kren1239-split-s,kren1239,split-s,False,DI,"pessoa2012krenak[214,223-227]"
kren1239-coargument-sensitivity flagging,kren1239,coargument-sensitivity flagging,no,DI,"pessoa2012krenak[214,223-227]"
kren1239-coargument-sensitivity indexing,kren1239,coargument-sensitivity indexing,no,DI,"pessoa2012krenak[214,223-227]"
kron1241-flagging,kron1241,flagging,False,AWM;HT,reh1985krongo
kron1241-indexing,kron1241,indexing,True,AWM;HT,reh1985krongo
kron1241-indexing-features,kron1241,indexing-features,number;person+number,AWM;HT,reh1985krongo
kron1241-tam-split,kron1241,tam-split,False,AWM;HT,reh1985krongo
kron1241-split-s,kron1241,split-s,False,AWM;HT,reh1985krongo
kron1241-coargument-sensitivity flagging,kron1241,coargument-sensitivity flagging,no,AWM;HT,reh1985krongo
kron1241-coargument-sensitivity indexing,kron1241,coargument-sensitivity indexing,no,AWM;HT,reh1985krongo
kuik1246-flagging,kuik1246,flagging,True,HT,"bassonodatekalapalo[104-105,154-156,201-202,99-101]"
kuik1246-indexing,kuik1246,indexing,False,AWM;HT,"bassonodatekalapalo[104-105,154-156,201-202,99-101]"
kuik1246-indexing-features,kuik1246,indexing-features,NA,AWM;HT,"bassonodatekalapalo[104-105,154-156,201-202,99-101]"
kuik1246-tam-split,kuik1246,tam-split,False,AWM;HT,"bassonodatekalapalo[154-156,190,197,201-202,244,48,66-67,76,99-108]"
kuik1246-split-s,kuik1246,split-s,False,AWM;HT,"bassonodatekalapalo[154-156,190,197,201-202,244,48,66-67,76,99-108]"
kuik1246-coargument-sensitivity flagging,kuik1246,coargument-sensitivity flagging,no,AWM;HT,"bassonodatekalapalo[154-156,190,197,201-202,244,48,66-67,76,99-108]"
kuik1246-coargument-sensitivity indexing,kuik1246,coargument-sensitivity indexing,no,AWM;HT,"bassonodatekalapalo[154-156,190,197,201-202,244,48,66-67,76,99-108]"
kuna1268-flagging,kuna1268,flagging,True,HT,"angesom2012kunama[43-45,47-48,53-54]"
kuna1268-indexing,kuna1268,indexing,True,AWM;HT,"angesom2012kunama[43-45,47-48,53-54]"
kuna1268-indexing-features,kuna1268,indexing-features,person+number,AWM;HT,"angesom2012kunama[43-45,47-48,53-54]"
kuna1268-tam-split,kuna1268,tam-split,False,AWM;HT,"angesom2012kunama[43-45,47-48,53-54];bender1996kunama[20,27];thompson1989kunama[308-309,312-313]"
kuna1268-split-s,kuna1268,split-s,False,AWM;HT,"angesom2012kunama[43-45,47-48,53-54];bender1996kunama[20,27];thompson1989kunama[308-309,312-313]"
kuna1268-coargument-sensitivity flagging,kuna1268,coargument-sensitivity flagging,no,AWM;HT,"angesom2012kunama[43-45,47-48,53-54];bender1996kunama[20,27];thompson1989kunama[308-309,312-313]"
kuna1268-coargument-sensitivity indexing,kuna1268,coargument-sensitivity indexing,yes,AWM;HT,"angesom2012kunama[43-45,47-48,53-54];bender1996kunama[20,27];thompson1989kunama[308-309,312-313]"
kuot1243-flagging,kuot1243,flagging,False,HT,"lindstroem2002topics[130-132,215-216]"
kuot1243-indexing,kuot1243,indexing,True,HT,"lindstroem2002topics[130-132,215-216]"
kuot1243-indexing-features,kuot1243,indexing-features,person+number,HT,"lindstroem2002topics[130-132,215-216]"
kuot1243-tam-split,kuot1243,tam-split,False,HT,"lindstroem2002topics[130-132,215-234,4]"
kuot1243-split-s,kuot1243,split-s,False,HT,"lindstroem2002topics[130-132,215-234,4]"
kuot1243-coargument-sensitivity flagging,kuot1243,coargument-sensitivity flagging,no,HT,"lindstroem2002topics[130-132,215-234,4]"
kuot1243-coargument-sensitivity indexing,kuot1243,coargument-sensitivity indexing,no,HT,"lindstroem2002topics[130-132,215-234,4]"
kusu1250-flagging,kusu1250,flagging,True,AWM;HT,watters2006kusunda[45-53]
kusu1250-indexing,kusu1250,indexing,True,AWM;HT,watters2006kusunda[45-53]
kusu1250-indexing-features,kusu1250,indexing-features,person,AWM;HT,watters2006kusunda[45-53]
kusu1250-tam-split,kusu1250,tam-split,False,AWM;HT,"watters2006kusunda[45-53,61-63]"
kusu1250-split-s,kusu1250,split-s,False,AWM;HT,"watters2006kusunda[45-53,61-63]"
kusu1250-coargument-sensitivity flagging,kusu1250,coargument-sensitivity flagging,no,AWM;HT,"watters2006kusunda[45-53,61-63]"
kusu1250-coargument-sensitivity indexing,kusu1250,coargument-sensitivity indexing,no,AWM;HT,"watters2006kusunda[45-53,61-63]"
kute1249-flagging,kute1249,flagging,False,DI,"morgan1992kutenai[36,387-388]"
kute1249-indexing,kute1249,indexing,True,AWM;DI;KMB,"morgan1992kutenai[36,387-388]"
kute1249-indexing-features,kute1249,indexing-features,person;person+number,AWM;DI;KMB,"morgan1992kutenai[36,387-388]"
kute1249-tam-split,kute1249,tam-split,False,AWM;DI;KMB,"morgan1992kutenai[355-367,36,387-388,424-425]"
kute1249-split-s,kute1249,split-s,False,AWM;DI;KMB,"morgan1992kutenai[355-367,36,387-388,424-425]"
kute1249-coargument-sensitivity flagging,kute1249,coargument-sensitivity flagging,no,AWM;DI;KMB,"morgan1992kutenai[355-367,36,387-388,424-425]"
kute1249-coargument-sensitivity indexing,kute1249,coargument-sensitivity indexing,yes,AWM;DI;KMB,"morgan1992kutenai[355-367,36,387-388,424-425]"
kwak1269-flagging,kwak1269,flagging,True,DI,littell2016kwakwala[558];rosenblum2013kwakwala[106-111]
kwak1269-indexing,kwak1269,indexing,False,DI,littell2016kwakwala[558];rosenblum2013kwakwala[106-111]
kwak1269-indexing-features,kwak1269,indexing-features,NA,DI,littell2016kwakwala[558];rosenblum2013kwakwala[106-111]
kwak1269-tam-split,kwak1269,tam-split,False,DI,"littell2016kwakwala[102-105,558-560];rosenblum2013kwakwala[106-112]"
kwak1269-split-s,kwak1269,split-s,False,DI,"littell2016kwakwala[102-105,558-560];rosenblum2013kwakwala[106-112]"
kwak1269-coargument-sensitivity flagging,kwak1269,coargument-sensitivity flagging,no,DI,"littell2016kwakwala[102-105,558-560];rosenblum2013kwakwala[106-112]"
kwak1269-coargument-sensitivity indexing,kwak1269,coargument-sensitivity indexing,no,DI,"littell2016kwakwala[102-105,558-560];rosenblum2013kwakwala[106-112]"
kwaz1243-flagging,kwaz1243,flagging,True,AN,"voort2004kwaza[105-110,235-236]"
kwaz1243-indexing,kwaz1243,indexing,True,AN;AWM,"voort2004kwaza[105-110,235-236]"
kwaz1243-indexing-features,kwaz1243,indexing-features,person;person+number,AN;AWM,"voort2004kwaza[105-110,235-236]"
kwaz1243-tam-split,kwaz1243,tam-split,False,AN;AWM,"voort2004kwaza[105-110,235-236,244-256]"
kwaz1243-split-s,kwaz1243,split-s,False,AN;AWM,"voort2004kwaza[105-110,235-236,244-256]"
kwaz1243-coargument-sensitivity flagging,kwaz1243,coargument-sensitivity flagging,no,AN;AWM,"voort2004kwaza[105-110,235-236,244-256]"
kwaz1243-coargument-sensitivity indexing,kwaz1243,coargument-sensitivity indexing,yes,AN;AWM,"voort2004kwaza[105-110,235-236,244-256]"
kyon1247-flagging,kyon1247,flagging,True,AWM;HT,chang1996korean
kyon1247-indexing,kyon1247,indexing,False,HT,chang1996korean
kyon1247-indexing-features,kyon1247,indexing-features,NA,HT,chang1996korean
kyon1247-tam-split,kyon1247,tam-split,False,AWM;HT,chang1996korean
kyon1247-split-s,kyon1247,split-s,False,AWM;HT,chang1996korean
kyon1247-coargument-sensitivity flagging,kyon1247,coargument-sensitivity flagging,no,AWM;HT,chang1996korean
kyon1247-coargument-sensitivity indexing,kyon1247,coargument-sensitivity indexing,no,AWM;HT,chang1996korean
laal1242-flagging,laal1242,flagging,True,AN,boyeldieu1982laal[8-11]
laal1242-indexing,laal1242,indexing,True,AN,boyeldieu1982laal[8-11]
laal1242-indexing-features,laal1242,indexing-features,person+number,AN,boyeldieu1982laal[8-11]
laal1242-tam-split,laal1242,tam-split,False,AN,"boyeldieu1982laal[105,8-11];lionnetinpreplaal"
laal1242-split-s,laal1242,split-s,False,AN,"boyeldieu1982laal[105,8-11];lionnetinpreplaal"
laal1242-coargument-sensitivity flagging,laal1242,coargument-sensitivity flagging,no,AN,"boyeldieu1982laal[105,8-11];lionnetinpreplaal"
laal1242-coargument-sensitivity indexing,laal1242,coargument-sensitivity indexing,no,AN,"boyeldieu1982laal[105,8-11];lionnetinpreplaal"
lake1258-flagging,lake1258,flagging,True,HT,"callaghan1963lakemiwok[124,231,234-235,263,276,283,286,91,96-97]"
lake1258-indexing,lake1258,indexing,True,HT,"callaghan1963lakemiwok[124,231,234-235,263,276,283,286,91,96-97]"
lake1258-indexing-features,lake1258,indexing-features,person+number,HT,"callaghan1963lakemiwok[124,231,234-235,263,276,283,286,91,96-97]"
lake1258-tam-split,lake1258,tam-split,False,HT,"callaghan1963lakemiwok[124-126,231,234-235,263,276,283,286,91,96-97]"
lake1258-split-s,lake1258,split-s,False,HT,"callaghan1963lakemiwok[124-126,231,234-235,263,276,283,286,91,96-97]"
lake1258-coargument-sensitivity flagging,lake1258,coargument-sensitivity flagging,yes,HT,"callaghan1963lakemiwok[124-126,231,234-235,263,276,283,286,91,96-97]"
lake1258-coargument-sensitivity indexing,lake1258,coargument-sensitivity indexing,no,HT,"callaghan1963lakemiwok[124-126,231,234-235,263,276,283,286,91,96-97]"
lako1247-flagging,lako1247,flagging,False,HT,"ingham2003lakota[50,74]"
lako1247-indexing,lako1247,indexing,True,AN;AWM;HT,"ingham2003lakota[50,74]"
lako1247-indexing-features,lako1247,indexing-features,number;person;person+number,AN;AWM;HT,"ingham2003lakota[50,74]"
lako1247-tam-split,lako1247,tam-split,False,AN;AWM;HT,"ingham2003lakota[18-20,50,74]"
lako1247-split-s,lako1247,split-s,True,AN;AWM;HT,"ingham2003lakota[18-20,50,74]"
lako1247-coargument-sensitivity flagging,lako1247,coargument-sensitivity flagging,no,AN;AWM;HT,"ingham2003lakota[18-20,50,74]"
lako1247-coargument-sensitivity indexing,lako1247,coargument-sensitivity indexing,no,AN;AWM;HT,"ingham2003lakota[18-20,50,74]"
lako1248-flagging,lako1248,flagging,False,DI,telles2002latunde[150f]
lako1248-indexing,lako1248,indexing,True,AWM;DI;NCP,telles2002latunde[150f]
lako1248-indexing-features,lako1248,indexing-features,person+number,AWM;DI;NCP,telles2002latunde[150f]
lako1248-tam-split,lako1248,tam-split,False,AWM;DI;NCP,"telles2002latunde[150f,221-225,276]"
lako1248-split-s,lako1248,split-s,False,AWM;DI;NCP,"telles2002latunde[150f,221-225,276]"
lako1248-coargument-sensitivity flagging,lako1248,coargument-sensitivity flagging,no,AWM;DI;NCP,"telles2002latunde[150f,221-225,276]"
lako1248-coargument-sensitivity indexing,lako1248,coargument-sensitivity indexing,no,AWM;DI;NCP,"telles2002latunde[150f,221-225,276]"
lang1324-flagging,lang1324,flagging,False,AWM,noonan1992lango[119-120]
lang1324-indexing,lang1324,indexing,True,AWM,noonan1992lango[119-120]
lang1324-indexing-features,lang1324,indexing-features,person+number,AWM,noonan1992lango[119-120]
lang1324-tam-split,lang1324,tam-split,True,AWM,"noonan1992lango[119-120,151,91]"
lang1324-split-s,lang1324,split-s,False,AWM,"noonan1992lango[119-120,151,91]"
lang1324-coargument-sensitivity flagging,lang1324,coargument-sensitivity flagging,no,AWM,"noonan1992lango[119-120,151,91]"
lang1324-coargument-sensitivity indexing,lang1324,coargument-sensitivity indexing,no,AWM,"noonan1992lango[119-120,151,91]"
laoo1244-flagging,laoo1244,flagging,False,AWM,enfield2007grammar[271]
laoo1244-indexing,laoo1244,indexing,False,AWM,enfield2007grammar[271]
laoo1244-indexing-features,laoo1244,indexing-features,NA,AWM,enfield2007grammar[271]
laoo1244-tam-split,laoo1244,tam-split,False,AWM,enfield2007grammar[271]
laoo1244-split-s,laoo1244,split-s,False,AWM,enfield2007grammar[271]
laoo1244-coargument-sensitivity flagging,laoo1244,coargument-sensitivity flagging,no,AWM,enfield2007grammar[271]
laoo1244-coargument-sensitivity indexing,laoo1244,coargument-sensitivity indexing,no,AWM,enfield2007grammar[271]
lavu1241-flagging,lavu1241,flagging,False,AN,terrill2003lavukaleve[226]
lavu1241-indexing,lavu1241,indexing,True,AN,terrill2003lavukaleve[226]
lavu1241-indexing-features,lavu1241,indexing-features,person+number,AN,terrill2003lavukaleve[226]
lavu1241-tam-split,lavu1241,tam-split,False,AN,"terrill2003lavukaleve[226,242-246]"
lavu1241-split-s,lavu1241,split-s,False,AN,"terrill2003lavukaleve[226,242-246]"
lavu1241-coargument-sensitivity flagging,lavu1241,coargument-sensitivity flagging,no,AN,"terrill2003lavukaleve[226,242-246]"
lavu1241-coargument-sensitivity indexing,lavu1241,coargument-sensitivity indexing,no,AN,"terrill2003lavukaleve[226,242-246]"
leco1242-flagging,leco1242,flagging,True,MV;NCP,kerke2006object[175-187]
leco1242-indexing,leco1242,indexing,True,MV;NCP,kerke2006object[175-187]
leco1242-indexing-features,leco1242,indexing-features,person+number,MV;NCP,kerke2006object[175-187]
leco1242-tam-split,leco1242,tam-split,False,MV;NCP,kerke2006object[174-187]
leco1242-split-s,leco1242,split-s,False,MV;NCP,kerke2006object[174-187]
leco1242-coargument-sensitivity flagging,leco1242,coargument-sensitivity flagging,no,MV;NCP,kerke2006object[174-187]
leco1242-coargument-sensitivity indexing,leco1242,coargument-sensitivity indexing,no,MV;NCP,kerke2006object[174-187]
lill1248-flagging,lill1248,flagging,False,AWM,eijk1997lillooet[163];taylor1999[287-290]
lill1248-indexing,lill1248,indexing,True,AWM;DI,eijk1997lillooet[163];taylor1999[287-290]
lill1248-indexing-features,lill1248,indexing-features,person+number,AWM;DI,eijk1997lillooet[163];taylor1999[287-290]
lill1248-tam-split,lill1248,tam-split,True,AWM;DI,"eijk1997lillooet[144-151,163];taylor1999[287-290]"
lill1248-split-s,lill1248,split-s,False,AWM;DI,"eijk1997lillooet[144-151,163];taylor1999[287-290]"
lill1248-coargument-sensitivity flagging,lill1248,coargument-sensitivity flagging,no,AWM;DI,"eijk1997lillooet[144-151,163];taylor1999[287-290]"
lill1248-coargument-sensitivity indexing,lill1248,coargument-sensitivity indexing,yes,AWM;DI,"eijk1997lillooet[144-151,163];taylor1999[287-290]"
maba1277-flagging,maba1277,flagging,True,AN;DI;NCP,"weiss2009maba[130-131,174-179]"
maba1277-indexing,maba1277,indexing,True,AN,"weiss2009maba[130-131,174-179]"
maba1277-indexing-features,maba1277,indexing-features,person+number,AN,"weiss2009maba[130-131,174-179]"
maba1277-tam-split,maba1277,tam-split,False,AN;DI;NCP,"weiss2009maba[130-131,174-179,223-234]"
maba1277-split-s,maba1277,split-s,False,AN;DI;NCP,"weiss2009maba[130-131,174-179,223-234]"
maba1277-coargument-sensitivity flagging,maba1277,coargument-sensitivity flagging,no,AN;DI;NCP,"weiss2009maba[130-131,174-179,223-234]"
maba1277-coargument-sensitivity indexing,maba1277,coargument-sensitivity indexing,yes,AN;DI;NCP,"weiss2009maba[130-131,174-179,223-234]"
madi1260-flagging,madi1260,flagging,True,AWM;HT,"blackings2003madi[109,155-156]"
madi1260-indexing,madi1260,indexing,False,HT,"blackings2003madi[109,155-156]"
madi1260-indexing-features,madi1260,indexing-features,NA,HT,"blackings2003madi[109,155-156]"
madi1260-tam-split,madi1260,tam-split,False,AWM;HT,"blackings2003madi[109,155-156]"
madi1260-split-s,madi1260,split-s,False,AWM;HT,"blackings2003madi[109,155-156]"
madi1260-coargument-sensitivity flagging,madi1260,coargument-sensitivity flagging,no,AWM;HT,"blackings2003madi[109,155-156]"
madi1260-coargument-sensitivity indexing,madi1260,coargument-sensitivity indexing,no,AWM;HT,"blackings2003madi[109,155-156]"
magd1235-flagging,magd1235,flagging,False,DI,erickson2013mixtecomagdalena[50]
magd1235-indexing,magd1235,indexing,True,DI,erickson2013mixtecomagdalena[50]
magd1235-indexing-features,magd1235,indexing-features,person,DI,erickson2013mixtecomagdalena[50]
magd1235-tam-split,magd1235,tam-split,False,DI,"erickson2013mixtecomagdalena[46,50,52,58ff]"
magd1235-split-s,magd1235,split-s,False,DI,"erickson2013mixtecomagdalena[46,50,52,58ff]"
magd1235-coargument-sensitivity flagging,magd1235,coargument-sensitivity flagging,no,DI,"erickson2013mixtecomagdalena[46,50,52,58ff]"
magd1235-coargument-sensitivity indexing,magd1235,coargument-sensitivity indexing,yes,DI,"erickson2013mixtecomagdalena[46,50,52,58ff]"
maib1239-flagging,maib1239,flagging,False,AN,"dol2007grammar[62,83]"
maib1239-indexing,maib1239,indexing,True,AN,"dol2007grammar[62,83]"
maib1239-indexing-features,maib1239,indexing-features,person;person+number,AN,"dol2007grammar[62,83]"
maib1239-tam-split,maib1239,tam-split,False,AN,"dol2007grammar[49,62,68,83]"
maib1239-split-s,maib1239,split-s,False,AN,"dol2007grammar[49,62,68,83]"
maib1239-coargument-sensitivity flagging,maib1239,coargument-sensitivity flagging,no,AN,"dol2007grammar[49,62,68,83]"
maib1239-coargument-sensitivity indexing,maib1239,coargument-sensitivity indexing,no,AN,"dol2007grammar[49,62,68,83]"
male1292-flagging,male1292,flagging,False,DI,"leavitt1996passamaquoddy[22-31,6]"
male1292-indexing,male1292,indexing,True,AWM;DI,"leavitt1996passamaquoddy[22-31,6]"
male1292-indexing-features,male1292,indexing-features,person;person+number,AWM;DI,"leavitt1996passamaquoddy[22-31,6]"
male1292-tam-split,male1292,tam-split,False,AWM;DI,"leavitt1996passamaquoddy[22-31,6];sherwood1983maliseet"
male1292-split-s,male1292,split-s,False,AWM;DI,"leavitt1996passamaquoddy[22-31,6];sherwood1983maliseet"
male1292-coargument-sensitivity flagging,male1292,coargument-sensitivity flagging,no,AWM;DI,"leavitt1996passamaquoddy[22-31,6];sherwood1983maliseet"
male1292-coargument-sensitivity indexing,male1292,coargument-sensitivity indexing,yes,AWM;DI,"leavitt1996passamaquoddy[22-31,6];sherwood1983maliseet"
mali1285-flagging,mali1285,flagging,False,DI,"suarez1983malinaltepec[94-95,98f]"
mali1285-indexing,mali1285,indexing,True,DI,"suarez1983malinaltepec[94-95,98f]"
mali1285-indexing-features,mali1285,indexing-features,person+number,DI,"suarez1983malinaltepec[94-95,98f]"
mali1285-tam-split,mali1285,tam-split,False,DI,"navarro2012mephaa[4,53-55];suarez1983malinaltepec[94-95,98f]"
mali1285-split-s,mali1285,split-s,True,DI,"navarro2012mephaa[4,53-55];suarez1983malinaltepec[94-95,98f]"
mali1285-coargument-sensitivity flagging,mali1285,coargument-sensitivity flagging,no,DI,"navarro2012mephaa[4,53-55];suarez1983malinaltepec[94-95,98f]"
mali1285-coargument-sensitivity indexing,mali1285,coargument-sensitivity indexing,no,DI,"navarro2012mephaa[4,53-55];suarez1983malinaltepec[94-95,98f]"
manc1252-flagging,manc1252,flagging,True,AWM;HT,"gorelova2002manchu[163-168,216]"
manc1252-indexing,manc1252,indexing,False,AWM;HT,"gorelova2002manchu[163-168,216]"
manc1252-indexing-features,manc1252,indexing-features,NA,AWM;HT,"gorelova2002manchu[163-168,216]"
manc1252-tam-split,manc1252,tam-split,False,AWM;HT,"gorelova2002manchu[163-168,216]"
manc1252-split-s,manc1252,split-s,False,AWM;HT,"gorelova2002manchu[163-168,216]"
manc1252-coargument-sensitivity flagging,manc1252,coargument-sensitivity flagging,no,AWM;HT,"gorelova2002manchu[163-168,216]"
manc1252-coargument-sensitivity indexing,manc1252,coargument-sensitivity indexing,no,AWM;HT,"gorelova2002manchu[163-168,216]"
mang1381-flagging,mang1381,flagging,True,AN;AWM,"merlan1989mangarayi[52,56-57,99-102]"
mang1381-indexing,mang1381,indexing,True,AN,"merlan1989mangarayi[52,56-57,99-102]"
mang1381-indexing-features,mang1381,indexing-features,person+number,AN,"merlan1989mangarayi[52,56-57,99-102]"
mang1381-tam-split,mang1381,tam-split,False,AN;AWM,"merlan1989mangarayi[160,52,56-57,99-102]"
mang1381-split-s,mang1381,split-s,False,AN;AWM,"merlan1989mangarayi[160,52,56-57,99-102]"
mang1381-coargument-sensitivity flagging,mang1381,coargument-sensitivity flagging,no,AN;AWM,"merlan1989mangarayi[160,52,56-57,99-102]"
mang1381-coargument-sensitivity indexing,mang1381,coargument-sensitivity indexing,yes,AN;AWM,"merlan1989mangarayi[160,52,56-57,99-102]"
mapu1245-flagging,mapu1245,flagging,False,AWM,zuniga2019grammatical[41]
mapu1245-indexing,mapu1245,indexing,True,AN,zuniga2019grammatical[41]
mapu1245-indexing-features,mapu1245,indexing-features,number;person;person+number,AN,zuniga2019grammatical[41]
mapu1245-tam-split,mapu1245,tam-split,False,AN;AWM,"zuniga2000mapudungun[21-22];zuniga2019grammatical[41,45]"
mapu1245-split-s,mapu1245,split-s,False,AN;AWM,"zuniga2000mapudungun[21-22];zuniga2019grammatical[41,45]"
mapu1245-coargument-sensitivity flagging,mapu1245,coargument-sensitivity flagging,no,AN;AWM,"zuniga2000mapudungun[21-22];zuniga2019grammatical[41,45]"
mapu1245-coargument-sensitivity indexing,mapu1245,coargument-sensitivity indexing,yes,AN;AWM,"zuniga2000mapudungun[21-22];zuniga2019grammatical[41,45]"
mari1424-flagging,mari1424,flagging,True,HT,"green1989marrithiyel[197,390,48-51]"
mari1424-indexing,mari1424,indexing,True,HT,"green1989marrithiyel[197,390,48-51]"
mari1424-indexing-features,mari1424,indexing-features,person+number,HT,"green1989marrithiyel[197,390,48-51]"
mari1424-tam-split,mari1424,tam-split,False,HT,"green1989marrithiyel[113-116,197,390,48-51,70,74-78,82,84,88]"
mari1424-split-s,mari1424,split-s,False,HT,"green1989marrithiyel[113-116,197,390,48-51,70,74-78,82,84,88]"
mari1424-coargument-sensitivity flagging,mari1424,coargument-sensitivity flagging,no,HT,"green1989marrithiyel[113-116,197,390,48-51,70,74-78,82,84,88]"
mari1424-coargument-sensitivity indexing,mari1424,coargument-sensitivity indexing,yes,HT,"green1989marrithiyel[113-116,197,390,48-51,70,74-78,82,84,88]"
mari1440-flagging,mari1440,flagging,True,HT,"gordon1986maricopa[36-37,58-59]"
mari1440-indexing,mari1440,indexing,True,AN;HT,"gordon1986maricopa[36-37,58-59]"
mari1440-indexing-features,mari1440,indexing-features,person,AN;HT,"gordon1986maricopa[36-37,58-59]"
mari1440-tam-split,mari1440,tam-split,False,AN;HT,"gordon1986maricopa[21,36-37,58-59]"
mari1440-split-s,mari1440,split-s,False,AN;HT,"gordon1986maricopa[21,36-37,58-59]"
mari1440-coargument-sensitivity flagging,mari1440,coargument-sensitivity flagging,no,AN;HT,"gordon1986maricopa[21,36-37,58-59]"
mari1440-coargument-sensitivity indexing,mari1440,coargument-sensitivity indexing,yes,AN;HT,"gordon1986maricopa[21,36-37,58-59]"
mart1255-flagging,mart1255,flagging,True,HT,"dench1995martuthunira[100-101,110-111,221,65-67]"
mart1255-indexing,mart1255,indexing,False,AWM,"dench1995martuthunira[100-101,110-111,221,65-67]"
mart1255-indexing-features,mart1255,indexing-features,NA,AWM,"dench1995martuthunira[100-101,110-111,221,65-67]"
