ID,Glottocode,Selector_ID,Slot,Portmanteau,Role,Reference,Co-argument_role,Co-argument_reference,TAM,DIR/INV,Exemplar,Predicate_class,Miscellaneous_condition,Source,Comment,Coder
cher1273-180,cher1273,cher1273-null-marker,NA,simple,A,1du.excl,P,2pl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-181,cher1273,cher1273-null-marker,NA,simple,A,1pl.excl,P,2sg,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-182,cher1273,cher1273-null-marker,NA,simple,A,1pl.excl,P,2du,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-183,cher1273,cher1273-null-marker,NA,simple,A,1pl.excl,P,2pl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-184,cher1273,cher1273-null-marker,NA,simple,A,1sg,P,2du,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-185,cher1273,cher1273-null-marker,NA,simple,A,1sg,P,2pl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-186,cher1273,cher1273-null-marker,NA,NA,S,2du,NA,NA,any,NA,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-187,cher1273,cher1273-null-marker,NA,simple,A,2du,P,3sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-188,cher1273,cher1273-null-marker,NA,simple,A,2du,P,3.non-sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-189,cher1273,cher1273-null-marker,NA,simple,P,2du,A,3sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-190,cher1273,cher1273-null-marker,NA,simple,P,2du,A,3sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-191,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.anim,P,1sg,any,INV,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-192,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.anim,P,1du.excl,any,INV,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-193,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.anim,P,1pl.excl,any,INV,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-194,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.anim,P,1du.incl,any,INV,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-195,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.anim,P,1pl.incl,any,INV,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-196,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.anim,P,2sg,any,INV,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-197,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.anim,P,2du,any,INV,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-198,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.anim,P,2pl,any,INV,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-199,cher1273,cher1273-null-marker,NA,simple,P,3.non-sg.anim,A,any,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-200,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.inanim,P,1sg,any,INV,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-201,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.inanim,P,1du.excl,any,INV,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-202,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.inanim,P,1pl.excl,any,INV,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-203,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.inanim,P,1du.incl,any,INV,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-204,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.inanim,P,1pl.incl,any,INV,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-205,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.inanim,P,2sg,any,INV,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-206,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.inanim,P,2du,any,INV,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-207,cher1273,cher1273-null-marker,NA,simple,A,3.non-sg.inanim,P,2pl,any,INV,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-208,cher1273,cher1273-null-marker,NA,simple,P,3.non-sg.inanim,A,any,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-209,cher1273,cher1273-null-marker,NA,simple,A,3sg.anim,P,1du.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-210,cher1273,cher1273-null-marker,NA,simple,A,3sg.anim,P,1pl.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-211,cher1273,cher1273-null-marker,NA,simple,A,3sg.anim,P,1du.incl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-212,cher1273,cher1273-null-marker,NA,simple,A,3sg.anim,P,1pl.incl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-213,cher1273,cher1273-null-marker,NA,simple,A,3sg.anim,P,2sg,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-214,cher1273,cher1273-null-marker,NA,simple,A,3sg.anim,P,2du,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-215,cher1273,cher1273-null-marker,NA,simple,A,3sg.anim,P,2pl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-216,cher1273,cher1273-null-marker,NA,simple,P,3sg.anim,A,any,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-217,cher1273,cher1273-null-marker,NA,simple,A,3sg.inanim,P,1du.excl,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-218,cher1273,cher1273-null-marker,NA,simple,A,3sg.inanim,P,1pl.excl,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-219,cher1273,cher1273-null-marker,NA,simple,A,3sg.inanim,P,1du.incl,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-220,cher1273,cher1273-null-marker,NA,simple,A,3sg.inanim,P,1pl.incl,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-221,cher1273,cher1273-null-marker,NA,simple,A,3sg.inanim,P,2sg,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-222,cher1273,cher1273-null-marker,NA,simple,A,3sg.inanim,P,2du,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-223,cher1273,cher1273-null-marker,NA,simple,A,3sg.inanim,P,2pl,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-224,cher1273,cher1273-null-marker,NA,simple,P,3sg.inanim,A,any,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-225,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,NA,S,1du.excl,NA,NA,any,NA,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-226,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,A,1du.excl,P,3sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-227,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,A,1du.excl,P,3.non-sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-228,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,A,1du.excl,P,3sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-229,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,A,1du.excl,P,3.non-sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-230,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,P,1du.excl,A,3sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-231,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,P,1du.excl,A,3.non-sg.anim,any,INV,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-232,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,P,1du.excl,A,3sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-233,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,P,1du.excl,A,3.non-sg.inanim,any,INV,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-234,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,NA,S,1pl.excl,NA,NA,any,NA,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-235,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,A,1pl.excl,P,3sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-236,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,A,1pl.excl,P,3.non-sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-237,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,A,1pl.excl,P,3sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-238,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,A,1pl.excl,P,3.non-sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-239,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,P,1pl.excl,A,3sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-240,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,P,1pl.excl,A,3.non-sg.anim,any,INV,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-241,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,P,1pl.excl,A,3sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-242,cher1273,cher1273-o-o-1excl-s-a-p-indexing-marker,-3,simple,P,1pl.excl,A,3.non-sg.inanim,any,INV,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-243,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,A,2du,P,1sg,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-244,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,A,2du,P,1du.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-245,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,A,2du,P,1pl.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-246,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,P,2du,A,1sg,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-247,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,P,2du,A,1du.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-248,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,P,2du,A,1pl.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-249,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,A,2pl,P,1sg,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-250,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,A,2pl,P,1du.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-251,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,A,2pl,P,1pl.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-252,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,P,2pl,A,1sg,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-253,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,P,2pl,A,1du.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-254,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,P,2pl,A,1pl.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-255,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,A,2sg,P,1sg,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-256,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,A,2sg,P,1du.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-257,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,A,2sg,P,1pl.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-258,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,P,2sg,A,1du.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-259,cher1273,cher1273-ski-i-2a-p-indexing-marker,-2,simple,P,2sg,A,1pl.excl,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-260,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,NA,S,1du.excl,NA,NA,any,NA,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-261,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,simple,A,1du.excl,P,3sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-262,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,simple,A,1du.excl,P,3.non-sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-263,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,simple,A,1du.excl,P,3sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-264,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,simple,A,1du.excl,P,3.non-sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-265,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,NA,S,2du,NA,NA,any,NA,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-266,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,simple,A,2du,P,3sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-267,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,simple,A,2du,P,3.non-sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-268,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,simple,A,2du,P,3sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-269,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,simple,A,2du,P,3.non-sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-270,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,simple,P,2du,A,3sg.anim,any,none,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-271,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,simple,P,2du,A,3.non-sg.anim,any,INV,any,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
cher1273-272,cher1273,cher1273-stii-1-2du-s-a-p-indexing-marker,-1,simple,P,2du,A,3sg.inanim,any,none,non-exemplar,default,,king1975grammar[46-47];montgomeryanderson2008cherokee[168-203],"There are two predicate classes which have different sets of markers for S and A>P. We coded only one because the alignment is the same, and the distinction is not stative vs. active.",AN
